2026-06-07 18:48:54,287 | INFO     | config | Logging initialised — level: INFO
2026-06-07 18:48:54,288 | INFO     | config | App base path: D:\OFSAA\Scenario_Debugger
2026-06-07 18:48:54,293 | INFO     | jobs | Initialising database at: D:\OFSAA\Scenario_Debugger\db\scenario_debugger.db
2026-06-07 18:48:54,346 | INFO     | jobs | Database initialised successfully
2026-06-07 18:48:54,750 | INFO     | jobs | User created: admin (role: admin)
2026-06-07 18:48:54,750 | WARNING  | jobs | ============================================================
2026-06-07 18:48:54,751 | WARNING  | jobs | DEFAULT ADMIN CREATED
2026-06-07 18:48:54,751 | WARNING  | jobs | Username : admin
2026-06-07 18:48:54,751 | WARNING  | jobs | Password : changeme123
2026-06-07 18:48:54,752 | WARNING  | jobs | CHANGE THIS PASSWORD IMMEDIATELY AFTER FIRST LOGIN
2026-06-07 18:48:54,752 | WARNING  | jobs | ============================================================
2026-06-07 18:48:56,449 | INFO     | config | Logging initialised — level: INFO
2026-06-07 18:48:56,450 | INFO     | config | App base path: D:\OFSAA\Scenario_Debugger
2026-06-07 18:48:56,451 | INFO     | jobs | Initialising database at: D:\OFSAA\Scenario_Debugger\db\scenario_debugger.db
2026-06-07 18:48:56,458 | INFO     | jobs | Database initialised successfully
2026-06-07 18:49:23,907 | INFO     | auth | Login successful: admin from 127.0.0.1
2026-06-07 18:49:43,553 | INFO     | main | File uploaded: RMF_AIOR.log by admin (103311 bytes)
2026-06-07 18:49:46,924 | INFO     | jobs | Job created: 2a0312d7-4cc3-44b9-b1df-7955730c1e6d for user_id=1 file=b5b5430780224c84a2b92acece42ac3b_RMF_AIOR.log
2026-06-07 18:49:46,948 | INFO     | main | Job started: 2a0312d7-4cc3-44b9-b1df-7955730c1e6d by admin for file b5b5430780224c84a2b92acece42ac3b_RMF_AIOR.log
2026-06-07 18:49:46,955 | INFO     | pipeline | Pipeline started — job_id=2a0312d7-4cc3-44b9-b1df-7955730c1e6d user=admin
2026-06-07 18:49:46,993 | INFO     | pipeline | Step starting: log_reader
2026-06-07 18:49:47,317 | INFO     | pipeline | Step completed: log_reader
2026-06-07 18:49:47,318 | INFO     | pipeline | Step starting: set_batch_date
2026-06-07 18:49:47,760 | INFO     | paramiko.transport | Connected (version 2.0, client OpenSSH_8.0)
2026-06-07 18:49:47,981 | INFO     | paramiko.transport | Authentication (password) successful!
2026-06-07 18:50:17,281 | INFO     | pipeline | Step completed: set_batch_date
2026-06-07 18:50:17,282 | INFO     | pipeline | Step starting: sql_executer
2026-06-07 18:50:17,477 | INFO     | db_connect | Connecting to Oracle (attempt 1/3)...
2026-06-07 18:50:17,747 | INFO     | db_connect | Oracle connection established successfully
2026-06-07 18:50:17,754 | INFO     | sql_executer | Loading SQL file: D:/OFSAA/Scenario_Debugger/outputs\20260607\ML-RapidMvmtFundsAllActivity_RMF_AIOR\extracted_queries\ML_RapidMvmtFundsAllActivity_RMF_AIOR_dataset_query_20260607_184947.sql
2026-06-07 18:50:17,758 | INFO     | sql_executer | SQL loaded successfully (25336 chars)
2026-06-07 18:50:17,761 | INFO     | sql_executer | Executing dataset query...
2026-06-07 18:50:19,820 | INFO     | pipeline | Step completed: sql_executer
2026-06-07 18:50:19,822 | INFO     | pipeline | Step starting: cte_parser
2026-06-07 18:50:21,096 | INFO     | pipeline | Step completed: cte_parser
2026-06-07 18:50:21,101 | INFO     | pipeline | Step starting: cte_executer
2026-06-07 18:50:21,140 | INFO     | db_connect | Connecting to Oracle (attempt 1/3)...
